year,month,language_name,commit_count,quarter,year_rank,quarter_rank
2011,1,Nemerle,22164,1,161,217
2011,12,Nemerle,21958,4,161,228
2011,7,Visual Basic .NET,1789,3,270,174
2011,7,Rich Text Format,12430,3,194,150
2011,10,POV-Ray SDL,34064,4,142,157
2011,2,Jinja,3821,1,225,141
2011,7,Pawn,12234,3,188,145
2011,2,Terra,7633,1,203,221
2011,12,HLSL,62311,4,111,108
2011,4,Genshi,7825,2,218,259
2011,5,Gettext Catalog,12695,2,191,250
2011,8,Stata,18856,3,164,199
2011,6,Pep8,23,2,374,288
2011,7,CWeb,1403,3,271,304
2011,10,Isabelle,1697,4,251,279
2011,5,PAWN,55195,2,134,155
2011,11,StringTemplate,465,4,289,331
2011,2,RobotFramework,5284,1,202,160
2011,11,Stata,22373,4,164,210
2011,10,XC,37639,4,133,186
2011,7,Frege,1870,3,252,338
2011,10,Ecl,474,4,325,417
2011,9,CodeQL,1583,3,256,240
2011,4,JFlex,5597,2,222,295
2011,2,Csound,1351,1,255,301
2011,9,RPGLE,44,3,408,449
2011,3,Closure Templates,50,1,367,335
2011,9,Moocode,224,3,352,413
2011,11,ChucK,800,4,303,359
2011,4,LOLCODE,3473,2,238,304
2011,4,HolyC,2,2,417,448
2011,10,jq,679,4,298,273
2011,12,X10,12,4,379,420
2011,6,PureScript,160,2,316,270
2011,5,TeX,7170965,2,21,27
2011,10,ASP,17888078,4,12,19
2011,12,UnrealScript,21455076,4,9,10
2011,2,Shell,25071510,1,1,1
2011,10,Batchfile,2445532,4,33,22
2011,6,Elm,41802,2,140,148
2011,11,Bison,4302184,4,25,33
2011,11,ANTLR,57640,4,124,90
2011,7,PigLatin,6324,3,205,206
2011,2,Clojure,7272357,1,17,20
2011,1,Common Lisp,91268,1,107,113
2011,8,Jolie,220,3,324,367
2011,4,Nginx,48312,2,138,59
2011,5,Prolog,2672490,2,34,45
2011,10,AMPL,158558,4,87,104
2011,1,M,68977,1,108,135
2011,8,Processing,43970,3,109,123
2011,4,COBOL,16331,2,169,207
2011,11,Io,54266,4,127,174
2011,11,LSL,14268,4,186,254
2011,3,SAS,134192,1,91,118
2011,10,Eiffel,41706,4,137,185
2011,7,Haxe,101462,3,94,133
2011,7,Swift,30558,3,143,66
2011,10,Ioke,994,4,305,381
2011,4,Slash,47208,2,141,161
2011,9,Cython,8021,3,208,148
2011,12,AspectJ,126223,4,90,111
2011,1,AspectJ,80902,1,90,114
2011,8,Csound Score,463,3,304,320
2011,9,SWIG,15647,3,175,149
2011,3,ASP.NET,3107,1,248,248
2011,3,Smali,692,1,288,329
2011,2,Agda,206,1,328,354
2011,8,Myghty,512,3,293,299
2011,1,Isabelle,4412,1,251,278
2011,11,EJS,2320,4,282,179
2011,2,RUNOFF,85,1,360,436
2011,2,Dylan,49,1,327,326
2011,11,Jsonnet,1158,4,263,212
2011,8,Jsonnet,820,3,263,210
2011,4,CodeQL,3948,2,256,244
2011,5,Earthly,78,2,386,352
2011,1,mIRC Script,1542,1,260,263
2011,2,RPGLE,5,1,408,448
2011,12,WebIDL,21,4,355,182
2011,10,DCPU-16 ASM,52,4,357,451
2011,9,PEG.js,51,3,375,312
2011,9,WebIDL,154,3,355,180
2011,9,LabVIEW,346,3,336,387
2011,6,LabVIEW,63,2,336,396
2011,12,Bluespec,50,4,373,354
2011,5,APL,117,2,343,325
2011,4,Kaitai Struct,1,2,376,387
2011,1,Cycript,2,1,405,289
2011,3,Scilab,29892587,1,10,11
2011,9,TeX,4025780,3,21,27
2011,6,DOT,2013790,2,31,49
2011,6,XSLT,6025813,2,19,23
2011,8,Cucumber,219921,3,70,58
2011,4,Forth,128250,2,88,124
2011,3,Racket,168274,1,97,146
2011,8,F#,48010,3,130,107
2011,10,Mathematica,82044,4,115,133
2011,6,GCC Machine Description,11450,2,196,191
2011,4,Vala,24274,2,155,140
2011,5,LSL,13361,2,186,254
2011,12,Io,55100,4,127,174
2011,1,Handlebars,47848,1,131,84
2011,3,Nu,112831,1,114,183
2011,2,DM,64644,1,119,95
2011,8,AutoIt,4020,3,239,239
2011,6,SmPL,12420,2,183,168
2011,6,Graphviz (DOT),69565,2,105,170
2011,2,Visual Basic .NET,1401,1,270,174
2011,12,Jinja,6459,4,225,137
2011,10,Haml,2871,4,244,220
2011,7,KiCad,4520,3,221,241
2011,5,CartoCSS,1197,2,265,273
2011,12,REXX,66,4,370,403
2011,3,SWIG,19795,1,175,155
2011,2,LilyPond,12522,1,206,219
2011,2,ASL,401,1,314,306
2011,6,Opa,1950,2,284,357
2011,12,ooc,464,4,307,311
2011,4,Cython,7094,2,208,151
2011,1,RobotFramework,5093,1,202,160
2011,5,VCL,2285,2,254,203
2011,11,1C Enterprise,98,4,331,141
2011,2,mupad,548,1,315,361
2011,6,Csound Document,653,2,285,292
2011,5,Svelte,2,2,398,335
2011,12,Red,1586,4,264,309
2011,12,PogoScript,58,4,400,454
2011,5,Red,2062,2,264,303
2011,7,Hy,90,3,334,257
2011,12,PEG.js,8,4,375,314
2011,1,ChucK,688,1,303,352
2011,4,DOT,2157061,2,31,49
2011,1,TeX,6221463,1,21,27
2011,3,Batchfile,2489683,1,33,23
2011,2,Cucumber,213102,1,70,63
2011,11,Lua,475513,4,52,40
2011,5,CMake,840035,2,39,34
2011,9,XQuery,55775,3,116,139
2011,8,ANTLR,77713,3,124,89
2011,8,Mathematica,66205,3,115,132
2011,6,LLVM,74691,2,110,73
2011,2,Io,63548,1,127,164
2011,5,OpenEdge ABL,66179,2,106,109
2011,1,Raku,14963,1,178,168
2011,9,DIGITAL Command Language,163724,3,81,68
2011,8,Julia,14942,3,176,169
2011,8,LiveScript,19498,3,158,147
2011,7,ABAP,8299,3,180,237
2011,5,Stata,27993,2,164,198
2011,2,eC,10364,1,209,207
2011,7,DM,71724,3,119,104
2011,10,Visual Basic .NET,2197,4,270,172
2011,10,SQL,8164,4,207,274
2011,11,NewLisp,28286,4,145,163
2011,6,UrWeb,128,2,356,237
2011,10,NewLisp,27411,4,145,163
2011,7,Cython,8462,3,208,148
2011,2,Vue,9338,1,179,117
2011,9,Vue,17139,3,179,113
2011,11,MAXScript,14093,4,174,177
2011,1,Arc,37830,1,152,149
2011,5,SWIG,16056,2,175,153
2011,8,RAML,5609,3,236,236
2011,6,G-code,440,2,309,263
2011,2,Lasso,15481,1,172,234
2011,7,Genie,325,3,337,330
2011,3,VCL,2394,1,254,198
2011,6,Modula-2,35388,2,154,189
2011,8,Rascal,1685,3,247,226
2011,4,Rascal,2238,2,247,233
2011,2,Modelica,1152,1,278,309
2011,3,Modula-3,1,1,401,412
2011,9,Logtalk,468,3,321,383
2011,9,Nunjucks,105,3,342,265
2011,5,Nunjucks,178,2,342,266
2011,6,Harbour,77,2,348,373
2011,1,NetLogo,72,1,361,389
2011,6,Opal,4,2,385,390
2011,5,Golo,42,2,371,404
2011,11,wisp,2,4,419,449
2011,8,Sieve,45,3,396,403
2011,12,Pony,6,4,396,326
2011,5,MQL5,20,2,383,423
2011,7,Motoko,15,3,396,386
2011,2,PureScript,275,1,316,271
2011,4,C,20634789,2,4,3
2011,2,Objective-C,21497678,1,6,7
2011,10,Dockerfile,138091,4,84,36
2011,2,Protocol Buffer,348630,1,49,45
2011,4,OCaml,134905,2,83,95
2011,12,NSIS,869443,4,42,46
2011,6,Max,22527,2,156,180
2011,1,Racket,151124,1,97,146
2011,8,QML,60901,3,122,102
2011,2,M,68435,1,108,135
2011,5,MATLAB,42799,2,136,107
2011,3,Processing,51304,1,109,116
2011,8,Mask,25609,3,159,192
2011,9,FLUX,144958,3,89,114
2011,11,Cirru,12343,4,195,264
2011,5,AutoHotkey,13395,2,184,235
2011,5,COBOL,18278,2,169,207
2011,11,GDScript,19142,4,162,205
2011,9,COBOL,15555,3,169,209
2011,6,JSONiq,6039,2,187,150
2011,5,DM,52121,2,119,98
2011,10,SystemVerilog,27097,4,144,164
2011,6,Jupyter Notebook,45031,2,126,83
2011,5,Dylan,176,2,327,314
2011,6,TLA,4510,2,214,218
2011,3,Slash,52790,1,141,163
2011,5,UrWeb,186,2,356,237
2011,1,Vue,11706,1,179,117
2011,1,Web Ontology Language,10450,1,200,249
2011,8,WebAssembly,2043,3,277,267
2011,11,GAMS,360,4,320,367
2011,3,Pike,1673,1,286,342
2011,3,Asymptote,163,1,366,392
2011,10,Stata,22663,4,164,210
2011,3,Click,5638,1,235,313
2011,12,VBA,2347,4,246,252
2011,6,BlitzMax,538,2,335,391
2011,1,API Blueprint,552,1,287,266
2011,12,Cool,2692,4,243,276
2011,6,mupad,549,2,315,371
2011,12,mupad,249,4,315,370
2011,7,Earthly,40,3,386,359
2011,3,Zimpl,476,1,317,350
2011,2,SaltStack,909,1,276,71
2011,10,Scaml,18,4,378,407
2011,5,DCPU-16 ASM,146,2,357,424
2011,4,WebIDL,56,2,355,185
2011,8,F*,61,3,382,333
2011,4,X10,91,2,379,428
2011,3,KiCad Layout,21,1,354,356
2011,7,Idris,77,3,280,281
2011,3,ChucK,658,1,303,352
2011,7,Ren'Py,3,3,409,433
2011,5,Blade,124,2,306,249
2011,2,Stan,4,1,368,344
2011,1,Boogie,22,1,396,428
2011,3,MLIR,1645,1,266,179
2011,8,PureScript,867,3,316,264
2011,11,SourcePawn,13705842,4,15,17
2011,5,Shell,37230546,2,1,1
2011,1,Assembly,28330346,1,7,8
2011,8,DOT,1926362,3,31,50
2011,8,XSLT,6229339,3,19,23
2011,2,PowerShell,344464,1,51,35
2011,3,Roff,1252816,1,38,38
2011,6,GAP,305454,2,63,80
2011,8,Smarty,343457,3,59,52
2011,11,Tcl,427533,4,48,49
2011,12,Thrift,117802,4,99,86
2011,9,Eagle,28549,3,160,177
2011,7,Racket,89884,3,97,164
2011,9,Clojure,6793602,3,17,20
2011,10,Vala,24733,4,155,139
2011,8,Dart,46367,3,135,129
2011,3,XS,157495,1,93,123
2011,11,Mask,25487,4,159,189
2011,9,Processing,113443,3,109,123
2011,6,Rust,105189,2,101,82
2011,12,COBOL,23083,4,169,204
2011,12,Cirru,13940,4,195,264
2011,9,E,27368,3,146,185
2011,6,Lean,4426,2,199,240
2011,2,Clean,2397,1,253,303
2011,8,FLUX,128509,3,89,114
2011,9,ATS,3950,3,230,287
2011,9,Diff,26265,3,153,194
2011,12,Apex,10861,4,204,196
2011,9,Apex,9446,3,204,190
2011,10,VBScript,4916,4,228,225
2011,12,Slash,22819,4,141,161
2011,1,MAXScript,15468,1,174,180
2011,6,Terra,9257,2,203,226
2011,6,Kotlin,87403,2,92,92
2011,8,sed,37409,3,149,64
2011,11,REXX,13,4,370,403
2011,12,Procfile,4452,4,242,181
2011,7,Pug,644,3,296,208
2011,1,Limbo,8765,1,210,240
2011,12,OpenQASM,1121,4,301,284
2011,7,Rascal,4100,3,247,226
2011,4,Chapel,4292,2,234,296
2011,8,TXL,86,3,359,414
2011,12,Glyph,1,4,422,446
2011,1,CartoCSS,7815,1,265,269
2011,5,Ecl,186,2,325,407
2011,12,Kaitai Struct,7,4,376,393
2011,12,APL,68,4,343,336
2011,5,Sieve,14,2,396,393
2011,12,Curry,2,4,413,463
2011,1,Perl,29467277,1,5,6
2011,8,Scilab,17575585,3,10,13
2011,7,Objective-C++,3504968,3,29,33
2011,1,Groovy,455261,1,47,48
2011,7,Visual Basic,260216,3,65,73
2011,7,Cucumber,184267,3,70,58
2011,5,F#,51473,2,130,106
2011,12,XML,309223,4,54,120
2011,1,GLSL,383090,1,61,55
2011,9,GLSL,312187,3,61,53
2011,9,Gherkin,135015,3,85,71
2011,2,AGS Script,14047,1,192,199
2011,5,Logos,394510,2,57,84
2011,9,Mako,566715,3,55,55
2011,6,ABAP,6645,2,180,234
2011,3,Julia,9527,1,176,169
2011,5,Smalltalk,153700,2,77,86
2011,1,Nu,91900,1,114,183
2011,12,ATS,4786,4,230,292
2011,12,VBScript,3875,4,228,225
2011,11,Pawn,11988,4,188,143
2011,9,CartoCSS,838,3,265,252
2011,1,Component Pascal,9858,1,197,262
2011,11,Genshi,4388,4,218,266
2011,2,Nimrod,950,1,272,260
2011,6,AIDL,283,2,292,272
2011,1,Twig,14465,1,168,173
2011,9,Nimrod,1375,3,272,259
2011,9,Brightscript,277,3,322,349
2011,5,Logtalk,257,2,321,376
2011,6,Fluent,730,2,290,260
2011,11,Slim,1100,4,299,294
2011,5,CodeQL,1471,2,256,244
2011,8,Inform 7,214,3,358,323
2011,9,Slice,176,3,326,361
2011,6,jq,759,2,298,277
2011,5,jq,477,2,298,277
2011,1,Futhark,22,1,396,402
2011,3,Solidity,10,1,396,273
2011,2,ASP,15043641,1,12,18
2011,9,Makefile,17202658,3,11,4
2011,2,PHP,2317328,1,30,25
2011,10,PLpgSQL,272823,4,64,55
2011,11,NSIS,853716,4,42,46
2011,7,Dart,37077,3,135,129
2011,10,ColdFusion,28452,4,151,192
2011,12,Prolog,2172685,4,34,44
2011,9,FORTRAN,132942,3,79,112
2011,2,Verilog,52273,1,139,150
2011,9,SAS,116875,3,91,118
2011,4,GDScript,22262,2,162,197
2011,10,COBOL,20317,4,169,204
2011,3,Clean,2711,1,253,303
2011,3,GDB,4390128,1,27,29
2011,7,Graphviz (DOT),103843,3,105,168
2011,1,Graphviz (DOT),97058,1,105,158
2011,7,HCL,4185,3,223,94
2011,9,SCSS,62694,3,120,77
2011,10,Gnuplot,68638,4,104,128
2011,1,Jupyter Notebook,40747,1,126,80
2011,11,Component Pascal,10839,4,197,259
2011,3,Vue,18273,1,179,117
2011,3,AL,15,1,406,351
2011,4,AspectJ,119665,2,90,116
2011,2,Ragel,12523,1,185,203
2011,4,WebAssembly,1330,2,277,275
2011,12,Parrot,1319,4,240,344
2011,11,PAWN,42962,4,134,160
2011,12,PureBasic,2682,4,267,140
2011,12,LFE,5,4,397,428
2011,2,LFE,10,1,397,429
2011,10,Pug,464,4,296,206
2011,6,Limbo,7627,2,210,251
2011,1,Logtalk,318,1,321,374
2011,12,SaltStack,946,4,276,71
2011,1,Papyrus,755,1,308,375
2011,9,Volt,504,3,346,243
2011,12,Volt,166,4,346,240
2011,10,Inform 7,42,4,358,321
2011,8,APL,220,3,343,346
2011,4,Nunjucks,109,2,342,266
2011,9,HyPhy,372,3,330,308
2011,12,Alloy,53,4,338,376
2011,8,Zeek,45,3,396,365
2011,9,Motoko,37,3,396,386
2011,1,Fennel,22,1,396,409
2011,3,Futhark,10,1,396,402
2011,10,Futhark,8,4,396,411
2011,5,Ox,66,2,404,449
2011,5,Python,35495139,2,2,2
2011,4,Groovy,451507,2,47,43
2011,6,Bison,3250236,2,25,33
2011,7,F#,47509,3,130,107
2011,3,OCaml,140450,1,83,106
2011,12,Objective-C++,2897603,4,29,35
2011,7,ActionScript,177768,3,74,72
2011,3,TSQL,52189,1,128,86
2011,12,Erlang,2502946,4,32,47
2011,10,TypeScript,302898,4,58,42
2011,4,FORTRAN,161766,2,79,113
2011,6,Gnuplot,82717,2,104,128
2011,10,PureBasic,2655,4,267,140
2011,11,JSONiq,13572,4,187,221
2011,12,LiveScript,31036,4,158,148
2011,1,Ada,229809,1,72,100
2011,7,OpenSCAD,6173,3,181,191
2011,11,Clarion,17787,4,147,175
2011,10,Graphviz (DOT),78406,4,105,170
2011,4,Nemerle,23196,2,161,225
2011,3,TLA,4818,1,214,212
2011,11,VBScript,3762,4,228,225
2011,10,SRecode Template,17578,4,165,149
2011,10,Component Pascal,9903,4,197,259
2011,6,Starlark,4220,2,229,123
2011,1,Redcode,5171,1,201,231
2011,7,IGOR Pro,641,3,297,371
2011,5,GAMS,270,2,320,353
2011,7,GAMS,199,3,320,366
2011,8,Cool,3459,3,243,274
2011,2,StringTemplate,255,1,289,331
2011,10,StringTemplate,295,4,289,331
2011,8,RobotFramework,5720,3,202,154
2011,10,RUNOFF,214,4,360,444
2011,8,JFlex,5391,3,222,290
2011,8,Modelica,1028,3,278,307
2011,8,kvlang,74,3,341,341
2011,6,YARA,30,2,377,327
2011,3,Stylus,596,1,311,227
2011,7,Closure Templates,64,3,367,332
2011,9,Closure Templates,5,3,367,332
2011,6,BASIC,95,2,349,321
2011,4,Oxygene,1771,2,269,372
2011,11,Singularity,46,4,350,368
2011,11,Reason,447,4,312,268
2011,12,Nit,24,4,339,325
2011,7,Shen,30,3,380,430
2011,1,Self,44,1,362,438
2011,12,PureScript,472,4,316,247
2011,2,TeX,4687208,1,21,27
2011,6,TeX,4227516,2,21,27
2011,3,Vim script,199125,1,75,60
2011,9,Bison,3191691,3,25,35
2011,1,Clojure,9975419,1,17,20
2011,4,Visual Basic,268794,2,65,65
2011,7,PLSQL,297686,3,60,60
2011,12,SuperCollider,1236259,4,36,68
2011,12,Dart,52688,4,135,129
2011,8,GLSL,304526,3,61,53
2011,2,AMPL,124633,1,87,109
2011,10,Processing,101212,4,109,117
2011,11,MATLAB,56650,4,136,105
2011,6,Perl6,418377,2,53,61
2011,2,Rust,80755,1,101,88
2011,1,D,247998,1,71,85
2011,7,Cuda,46582,3,125,116
2011,8,Elixir,47770,3,121,134
2011,11,VHDL,20681,4,170,188
2011,5,Eiffel,47862,2,137,179
2011,10,ABAP,10616,4,180,232
2011,10,Liquid,18756,4,167,191
2011,6,LSL,6171,2,186,254
2011,2,Inno Setup,64848,1,112,105
2011,8,Liquid,18078,3,167,187
2011,12,DM,92218,4,119,96
2011,1,Clean,3126,1,253,303
2011,6,Nemerle,26414,2,161,225
2011,11,Visual Basic .NET,1420,4,270,172
2011,3,Brainfuck,692090,1,45,91
2011,6,POV-Ray SDL,34302,2,142,157
2011,2,Slash,41279,1,141,163
2011,4,MAXScript,18887,2,174,195
2011,1,KiCad,6589,1,221,246
2011,5,Arc,29390,2,152,152
2011,3,Web Ontology Language,9919,1,200,249
2011,5,Mirah,1027,2,281,344
2011,4,Rich Text Format,9280,2,194,154
2011,1,Csound Score,579,1,304,316
2011,5,Starlark,3910,2,229,123
2011,4,ASP.NET,2162,2,248,253
2011,10,Redcode,19441,4,201,218
2011,10,Pep8,83,4,374,290
2011,4,Isabelle,3037,2,251,284
2011,9,Pug,765,3,296,208
2011,5,RobotFramework,9172,2,202,160
2011,11,VCL,2394,4,254,202
2011,4,FreeBasic,305,2,329,370
2011,12,ReScript,1636,4,249,249
2011,12,Mirah,827,4,281,351
2011,4,Fantom,1475,2,257,320
2011,6,APL,469,2,343,325
2011,4,RPGLE,14,2,408,450
2011,3,YARA,126,1,377,321
2011,10,F*,21,4,382,340
2011,12,NetLinx,10,4,418,435
2011,9,Papyrus,666,3,308,378
2011,4,HyPhy,70,2,330,306
2011,5,Common Workflow Language,222,2,364,326
2011,10,Slice,171,4,326,372
2011,6,Wollok,11,2,400,447
2011,8,Wollok,18,3,400,448
2011,3,Cycript,22,1,405,289
2011,10,LFE,2,4,397,428
2011,1,CSS,3693084,1,23,17
2011,12,PostScript,299839,4,56,50
2011,6,CSS,4681840,2,23,16
2011,8,Roff,843705,3,38,38
2011,9,Batchfile,2640450,3,33,22
2011,4,Objective-C++,2333380,2,29,32
2011,3,PowerShell,366914,1,51,35
2011,3,SQLPL,200696,1,73,68
2011,8,Fortran,85220,3,103,100
2011,11,TypeScript,331411,4,58,42
2011,11,AMPL,152165,4,87,104
2011,2,Lean,23804,1,199,235
2011,11,OpenSCAD,25776,4,181,190
2011,3,Raku,18500,1,178,168
2011,5,DTrace,178902,2,76,78
2011,5,E,35971,2,146,186
2011,3,Logos,413168,1,57,79
2011,9,D,184647,3,71,88
2011,3,Boo,5935,1,220,284
2011,7,VHDL,10840,3,170,193
2011,4,SmPL,15982,2,183,168
2011,3,Clarion,34751,1,147,181
2011,12,SCSS,65450,4,120,76
2011,8,Rich Text Format,14857,3,194,150
2011,2,Coq,3589,1,226,223
2011,12,Diff,26985,4,153,193
2011,12,RenderScript,30025,4,148,169
2011,11,Jinja,4898,4,225,137
2011,3,Rich Text Format,12346,1,194,154
2011,6,Xtend,6652,2,217,216
2011,3,ASL,316,1,314,306
2011,11,IGOR Pro,892,4,297,378
2011,1,GAMS,254,1,320,359
2011,6,Crystal,760,2,283,158
2011,11,Genie,66,4,337,330
2011,7,NASL,13429,3,190,165
2011,6,XC,33570,2,133,176
2011,9,VCL,2620,3,254,198
2011,6,OpenQASM,660,2,301,287
2011,10,Logtalk,99,4,321,375
2011,1,Fluent,1367,1,290,251
2011,9,Stylus,450,3,311,225
2011,1,Qt Script,100,1,351,340
2011,9,BASIC,87,3,349,318
2011,1,Inform 7,108,1,358,328
2011,3,RPGLE,3,1,408,448
2011,1,Moocode,132,1,352,405
2011,5,Kaitai Struct,10,2,376,387
2011,7,Singularity,178,3,350,368
2011,2,Singularity,14,1,350,368
2011,12,MQL5,31,4,383,425
2011,4,Boogie,44,2,396,430
2011,5,VimL,10307642,2,20,26
2011,5,Elm,37468,2,140,148
2011,10,Jolie,356,4,324,363
2011,3,PLpgSQL,295603,1,64,56
2011,7,C#,745901,3,41,37
2011,10,Groovy,458796,4,47,43
